timestamp,riskyForStable,deltaOut,tau,totalUnderlying,totalQuote,totalLiquidity,pool.id,pool.liquidity,pool.strike,pool.invariant,pool.sigma,pool.maturity,pool.initialQuote,pool.initialUnderlying,pool.initialLiquidity,pool.initialTau,pool.feesCollectedQuote,pool.feesCollectedUnderlying,pool.maturity_utc,pool.createdAtTimestamp_utc,pool.initialTau_utc,tau_yrs,pool.initialTau_years,swap_vol_cum,swap_count_cum,pool_name,spot_price,tvl,initial_tvl,total_fees_usdc,pool.duration_utc,totalUnderlying_usdc,totalQuote_usdc,initialUnderlyingPerLiquidity,initialQuotePerLiquidity,currentUnderlyingPerLiquidity,currentUnderlyingPerLiquiditySpot,currentQuotePerLiquidity,currentLPT_usdc
2022-05-09 11:02:00,True,2580.0,392250,11.899999998531051,1370.529541,12.506626088233858,0xe4e450c5ae4cf71232aa81d5981de07b5ba6ad0614591d574d45a572bcfd3e63,0.0,2950.0,-8,0.74,1652486400,6330.529541,9.999999998531054,12.506626088233858,610471,0.0,0.024,2022-05-14 00:00:00,2022-05-07 00:00:00,2022-05-06 22:25:00,0.01243816590563166,0.01935790842212075,3810.0,3,2022-05-07_2022-05-14_2950_0.74,2563.6681059814346,31878.179998413172,31967.210597048455,61.52803454355443,7,30507.650457413172,1370.529541,0.7995761549103143,506.1740469682479,0.95149562436559,2439.3189851669545,109.58427407447515,2548.9032592414296
2022-05-09 11:29:00,True,1230.0,390638,12.399999998531051,140.529541,12.506626088233858,0xe4e450c5ae4cf71232aa81d5981de07b5ba6ad0614591d574d45a572bcfd3e63,0.0,2950.0,-8,0.74,1652486400,6330.529541,9.999999998531054,12.506626088233858,610471,0.0,0.024,2022-05-14 00:00:00,2022-05-07 00:00:00,2022-05-06 22:25:00,0.01238704972095383,0.01935790842212075,1230.0,3,2022-05-07_2022-05-14_2950_0.74,2415.5708115047964,30093.607600111125,30486.23765249962,57.973699476115115,7,29953.078059111125,140.529541,0.7995761549103143,506.1740469682479,0.9914744321169784,2394.9766985750666,11.236407006059704,2406.2131055811265
2022-05-09 22:29:00,True,133.704625,264640,0.5053128940212813,1132.720119,0.513383088223925,0xb33b90127a881f1a56869bfa81d5413aa1a93a5f26236ad6e123b9ea6d84ac0b,0.03959042282176188,4100.0,2149,0.53,1652400000,10.179353,0.03591676842440017,0.039291862873037965,2817776,0.0,0.000360284125925584,2022-05-13 00:00:00,2022-04-10 00:00:00,2022-04-10 09:17:00,0.00839167935058346,0.08935109081684424,133.704625,1,2022-04-10_2022-05-13_4100_0.53,3688.9870942503703,2996.8128636028123,142.67584818479142,1.3290834908027545,33,1864.092744602812,1132.720119,0.9141019488044233,259.07025668118837,0.9842803660896526,3630.9975676287586,2206.3837804215623,5837.381348050321
2022-05-10 04:17:00,True,1000.0,243797,51.31134776055128,1563.131388,52.07086068234535,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.007730752156265855,0.022197837392186708,2495.45525,13,2022-05-05_2022-05-13_2900_0.65,2555.946399233114,132712.18593637916,1022.5990363054045,564.090586449874,8,131149.05454837915,1563.131388,0.5092056448974446,1302.0636769787034,0.9854138588868845,2518.66500437634,30.019311521193668,2548.684315897534
2022-05-10 08:16:00,True,2520.0,3858240,17.817071616689407,8916.572787,21.57663002456384,0x7825a58f2a7a6c7472ba964a31f1a9678935c243cfed43747001e11132547c09,11.130536484814723,3200.0,21,0.65,1656028800,288.060629,0.08544866780533937,0.2,6748551,0.0,0.10734524193431404,2022-06-24 00:00:00,2022-04-07 00:00:00,2022-04-06 21:24:00,0.12234398782343987,0.21399514840182648,10919.156702,13,2022-04-07_2022-06-24_3200_0.65,2519.7323302273144,53810.82416954774,503.3683998439675,270.4812765979639,78,44894.25138254774,8916.572787,0.4272433390266968,1440.3031449999999,0.8257578498776511,2080.6887512757107,413.251410292013,2493.940161567724
2022-05-10 13:02:00,False,4760.0,557909,47.999999998302755,29715.271755,61.65943530874373,0x7552c11e93e7866d30adb8177b3eeb919701423915e4130f9e3acd93b49ab7d2,0.0,2700.0,99999999566,1.1,1652745600,24955.271755,49.999999998302755,61.65943530874373,594408,47.6,0.0,2022-05-17 00:00:00,2022-05-10 00:00:00,2022-05-10 02:53:00,0.01769117833587012,0.01884855403348554,4760.0,1,2022-05-10_2022-05-17_2700_1.1,2387.685462403058,144324.1739462943,144339.5448711004,47.6,7,114608.9021912943,29715.271755,0.8109059018776387,404.7275429955352,0.7784696658014321,1858.7407039558464,481.92578485690694,2340.6664888127534
2022-05-11 17:01:00,True,22281.900799,457127,59.53559982902851,6859.239133,62.92025492673706,0x1c12949d3c2f65d377cb0d1c5266717765a8f1b39cc6633f09905e103c07aa38,0.0,2750.0,-5,1.0,1652745600,29141.139932,49.9999999992245,62.92025492673706,557424,0.0,0.11714006032822272,2022-05-17 00:00:00,2022-05-11 00:00:00,2022-05-10 13:10:00,0.014495402080162353,0.017675799086757992,27012.404437999998,2,2022-05-11_2022-05-17_2750_1.0,2249.2969903219187,140772.48464544397,141605.9894463516,263.48278514239934,6,133913.24551244397,6859.239133,0.7946566659248819,463.1440219994546,0.9462072252941511,2128.3010640749876,109.01480200591598,2237.3158660809036
2022-05-11 19:12:00,True,1031.845283,1658901,0.7248886213225855,322.558566,0.9885288027951327,0x042dcbb643b7cdc554723dc06a0f202ab04ee17d591a50846a3dc17f11a55b83,0.12679562292132487,3500.0,-352,1.5,1653955200,173.725317,0.049997445807348134,0.12679562292132487,4032019,0.0,0.004747161884316103,2022-05-31 00:00:00,2022-04-14 00:00:00,2022-04-14 08:00:00,0.05260340563165906,0.1278544837645865,1390.554275,3,2022-04-14_2022-05-31_3500_1.5,2662.6250519992986,2252.665169042749,306.8497687426225,12.639912159076252,47,1930.106603042749,322.558566,0.39431523466997703,1370.1207738676785,0.7333004554575582,1952.5041633437902,326.3016364196406,2278.805799763431
2022-05-11 20:12:00,True,6445.583292,3728888,20.36133096959744,2353.586463,21.29253412057274,0x7825a58f2a7a6c7472ba964a31f1a9678935c243cfed43747001e11132547c09,11.130536484814723,3200.0,21,0.65,1656028800,288.060629,0.08544866780533937,0.2,6748551,0.0,0.10734524193431404,2022-06-24 00:00:00,2022-04-07 00:00:00,2022-04-06 21:24:00,0.11824226281075596,0.21399514840182648,8399.156702,13,2022-04-07_2022-06-24_3200_0.65,2130.189980997609,45727.089694212795,470.0825250485269,228.66575887624015,78,43373.503231212795,2353.586463,0.4272433390266968,1440.3031449999999,0.9562662130443377,2037.028706193573,110.53576101709645,2147.5644672106696
2022-05-11 22:38:00,True,4730.503639,436932,61.71400603204677,2128.735494,62.92025492673706,0x1c12949d3c2f65d377cb0d1c5266717765a8f1b39cc6633f09905e103c07aa38,0.0,2750.0,-5,1.0,1652745600,29141.139932,49.9999999992245,62.92025492673706,557424,0.0,0.11714006032822272,2022-05-17 00:00:00,2022-05-11 00:00:00,2022-05-10 13:10:00,0.013855022831050228,0.017675799086757992,4730.503639,2,2022-05-11_2022-05-17_2750_1.0,2140.1597673933893,134206.56828845944,136149.12830000976,250.69844426449671,6,132077.83279445945,2128.735494,0.7946566659248819,463.1440219994546,0.9808289255010995,2099.130605053141,33.832277006484674,2132.962882059626
2022-05-11 23:08:00,True,1495.45525,89547,52.45210840235152,85.071681,52.65033909284644,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.0028395167427701672,0.022197837392186708,1495.45525,13,2022-05-05_2022-05-13_2900_0.65,2642.0270082074144,138664.95871743577,1039.8151580820372,583.0883483797973,8,138579.88703643577,85.071681,0.5092056448974446,1302.0636769787034,0.9962349589022523,2632.079667940154,1.6157860037706504,2633.695453943925
2022-05-11 23:13:00,True,591.196686,89196,0.7022980578886354,4.369465,0.7219688574,0xa91a9fed2335729942efb3c74a05bd200e071df2c39900eb50265d704135005b,0.0,3000.0,-68,0.7,1652400000,595.566151,0.4939646719608799,0.7219688574,810748,0.0,0.002083333859277556,2022-05-13 00:00:00,2022-05-04 00:00:00,2022-05-03 14:48:00,0.0028283866057838662,0.02570865043125317,591.196686,1,2022-05-04_2022-05-13_3000_0.7,2790.8154728422755,1964.3537515026837,1974.1304005458826,5.814200369568015,9,1959.9842865026837,4.369465,0.6841911072726554,824.9194475573233,0.9727539501049888,2714.7767752214454,6.052151633985424,2720.828926855431
2022-05-11 23:34:00,True,1295.619567,347173,0.9154937421558492,209.735557,1.0146047983814732,0x2392e4b27549ed03bed5e396d20ce5a129998c81e6d263f1cd23da1617b6f0ef,0.8745528123856874,3100.0,-73,0.37,1652659200,30.802745,0.010001522396199551,0.02076095693097221,1896150,0.0,0.004994029756254986,2022-05-16 00:00:00,2022-04-24 00:00:00,2022-04-24 01:18:00,0.011008783612379502,0.06012652207001522,1505.3540309999998,2,2022-04-24_2022-05-16_3100_0.37,2945.799592252629,2906.596649352534,60.265225596630174,14.711410819673434,22,2696.861092352534,209.735557,0.4817466954656021,1483.6861856809194,0.9023156046731409,2658.0409403293224,206.71650413498557,2864.757444464308
2022-05-12 03:51:00,True,10873.308543,590941,105.2953061838292,28853.911557,121.15596496205508,0xd2fe0e4cfbafb26e4f5ea07354eaaa83214897b55060d20859c5e003ac163516,0.0,2700.0,-22,1.65,1652918400,39727.2201,99.9999999983393,121.15596496205508,599213,40.0,0.20966237448121194,2022-05-19 00:00:00,2022-05-12 00:00:00,2022-05-12 01:33:00,0.018738616184677828,0.01900091958396753,46173.787985999996,7,2022-05-12_2022-05-19_2700_1.65,2042.7556627881936,243946.49452903378,244002.78637542698,468.28900274511454,7,215092.5829720338,28853.911557,0.8253823906207043,327.90147899397437,0.8690889154059126,1775.3363034118772,238.1551050007053,2013.4914084125826
2022-05-12 11:28:00,True,606.686548,3673911,0.44323504068918823,108.080663,0.4901370201360711,0x5350d508bd901feb8ce58d417f0293c02b9dd840a214efb660050ddb631a5a74,0.11121660329744547,3100.0,-24,0.3,1656028800,49.637725,0.01612845242391782,0.03403805639054575,6041208,0.0,0.002493991825600839,2022-06-24 00:00:00,2022-04-15 00:00:00,2022-04-15 01:53:00,0.11649895357686453,0.1915654490106545,706.462964,2,2022-04-15_2022-06-24_3100_0.3,2697.6463617594677,1303.7720579194981,93.14658600219258,6.727907974589956,70,1195.6913949194982,108.080663,0.4738358806056147,1458.3008039726717,0.9043084331114961,2439.5043544916325,220.51111946205333,2660.0154739536856
2022-05-12 12:47:00,True,8283.053015,558784,109.46411663264064,20570.858542,121.15596496205508,0xd2fe0e4cfbafb26e4f5ea07354eaaa83214897b55060d20859c5e003ac163516,0.0,2700.0,-22,1.65,1652918400,39727.2201,99.9999999983393,121.15596496205508,599213,40.0,0.20966237448121194,2022-05-19 00:00:00,2022-05-12 00:00:00,2022-05-12 01:33:00,0.01771892440385591,0.01900091958396753,35300.479443000004,7,2022-05-12_2022-05-19_2700_1.65,1980.2503584265182,237337.21473862883,237752.25593936324,455.18399221497486,7,216766.35619662883,20570.858542,0.8253823906207043,327.90147899397437,0.9034975427493296,1789.1513328668384,169.78824400798263,1958.9395768748211
2022-05-12 18:05:00,True,398.010453,3736497,0.3202791793243007,71.253634,0.35667552011602505,0xb6cc95d7824d27335948b4a8a3fe78c0672adf4e81c6a548e696bc20477da1ab,0.403948944901947,2900.0,-1,0.6,1656115200,300.301741,0.10430433422382786,0.2282516021775,4094738,0.0,0.001572888550298464,2022-06-25 00:00:00,2022-05-09 00:00:00,2022-05-08 14:34:00,0.11848354261796043,0.12984329020801624,398.010453,1,2022-05-09_2022-06-25_2900_0.6,2183.858922333548,770.6981774050406,528.0876919327669,3.4349666944055803,47,699.4445434050406,71.253634,0.4569708743718501,1315.6610430557685,0.8979567176915176,1961.0107897999676,199.77158504408013,2160.782374844048
2022-05-12 20:39:00,True,209.734464,271234,0.9881854844493169,0.001093,1.0146047983814732,0x2392e4b27549ed03bed5e396d20ce5a129998c81e6d263f1cd23da1617b6f0ef,0.8745528123856874,3100.0,-73,0.37,1652659200,30.802745,0.010001522396199551,0.02076095693097221,1896150,0.0,0.004994029756254986,2022-05-16 00:00:00,2022-04-24 00:00:00,2022-04-24 01:18:00,0.008600773718924403,0.06012652207001522,209.734464,2,2022-04-24_2022-05-16_3100_0.37,2898.400357670738,2864.158254572931,59.79116109039667,14.474697631747759,22,2864.1571615729313,0.001093,0.4817466954656021,1483.6861856809194,0.9739609806948467,2822.9288548032864,0.0010772667365102008,2822.929932070023
